route_name,start_time,end_time,runtime,in/outbound,stop_1,stop_2,stop_3,stop_4,stop_5,stop_6,stop_7,stop_8
Bernard_Street,8:26,8:38,0:12,in,8:34,8:36,8:38,,,,,
Bernard_Street,8:26,8:38,0:12,out,8:26,8:30,,,,,,
Bernard_Street,8:46,8:58,0:12,in,8:54,8:56,8:58,,,,,
Bernard_Street,8:46,8:58,0:12,out,8:46,8:50,,,,,,
Bernard_Street,9:06,9:18,0:12,in,9:14,9:16,9:18,,,,,
Bernard_Street,9:06,9:18,0:12,out,9:06,9:10,,,,,,
Bernard_Street,9:26,9:38,0:12,in,9:34,9:36,9:38,,,,,
Bernard_Street,9:26,9:39,0:12,out,9:26,9:30,,,,,,
Bernard_Street,9:46,9:58,0:12,in,9:54,9:56,9:58,,,,,
Bernard_Street,9:46,9:58,0:12,out,9:46,9:50,,,,,,
Bernard_Street,10:06,10:18,0:12,in,10:14,10:16,10:18,,,,,
Bernard_Street,10:06,10:18,0:12,out,10:06,10:10,,,,,,
Bernard_Street,10:26,10:38,0:12,in,10:34,10:36,10:38,,,,,
Bernard_Street,10:26,10:38,0:12,out,10:26,10:30,,,,,,
Bernard_Street,10:46,10:58,0:12,in,10:54,10:56,10:58,,,,,
Bernard_Street,10:46,10:58,0:12,out,10:46,10:50,,,,,,
Bernard_Street,11:06,11:18,0:12,in,11:14,11:16,11:18,,,,,
Bernard_Street,11:06,11:18,0:12,out,11:06,11:10,,,,,,
Bernard_Street,11:26,11:38,0:12,in,11:34,11:36,11:38,,,,,
Bernard_Street,11:26,11:38,0:12,out,11:26,11:30,,,,,,
Bernard_Street,11:46,11:58,0:12,in,11:54,11:56,11:58,,,,,
Bernard_Street,11:46,11:58,0:12,out,11:46,11:50,,,,,,
Bernard_Street,12:06,12:18,0:12,in,12:14,12:16,12:18,,,,,
Bernard_Street,12:06,12:18,0:12,out,12:06,12:10,,,,,,
Bernard_Street,12:26,12:38,0:12,in,12:34,12:36,12:38,,,,,
Bernard_Street,12:26,12:38,0:12,out,12:26,12:30,,,,,,
Bernard_Street,12:46,12:58,0:12,in,12:54,12:56,12:58,,,,,
Bernard_Street,12:46,12:58,0:12,out,12:46,12:50,,,,,,
Bernard_Street,1:06,1:18,0:12,in,1:14,1:16,1:18,,,,,
Bernard_Street,1:06,1:18,0:12,out,1:06,1:10,,,,,,
Bernard_Street,1:26,1:38,0:12,in,1:34,1:36,1:38,,,,,
Bernard_Street,1:26,1:38,0:12,out,1:26,1:30,,,,,,
Bernard_Street,1:46,1:58,0:12,in,1:54,1:56,1:58,,,,,
Bernard_Street,1:46,1:58,0:12,out,1:46,1:50,,,,,,
Bernard_Street,2:06,2:18,0:12,in,2:14,2:16,2:18,,,,,
Bernard_Street,2:06,2:18,0:12,out,2:06,2:10,,,,,,
Bernard_Street,2:26,2:38,0:12,in,2:34,2:36,2:38,,,,,
Bernard_Street,2:26,2:38,0:12,out,2:26,2:30,,,,,,
Bernard_Street,2:46,2:58,0:12,in,2:54,2:56,2:58,,,,,
Bernard_Street,2:46,2:58,0:12,out,2:46,2:50,,,,,,
Bernard_Street,3:06,3:18,0:12,in,3:14,3:16,3:18,,,,,
Bernard_Street,3:06,3:18,0:12,out,3:06,3:10,,,,,,
Bernard_Street,3:26,3:38,0:12,in,3:34,3:36,3:38,,,,,
Bernard_Street,3:26,3:38,0:12,out,3:26,3:30,,,,,,
Bernard_Street,3:46,3:58,0:12,in,3:54,3:56,3:58,,,,,
Bernard_Street,3:46,3:58,0:12,out,3:46,3:50,,,,,,
Bernard_Street,4:06,4:18,0:12,in,4:14,4:16,4:18,,,,,
Bernard_Street,4:06,4:18,0:12,out,4:06,4:10,,,,,,
Bernard_Street,4:26,4:38,0:12,in,4:34,4:36,4:38,,,,,
Bernard_Street,4:26,4:38,0:12,out,4:26,4:30,,,,,,
Bernard_Street,4:46,4:58,0:12,in,4:54,4:56,4:58,,,,,
Bernard_Street,4:46,4:58,0:12,out,4:46,4:50,,,,,,
Bernard_Street,5:06,5:18,0:12,in,5:14,5:16,5:18,,,,,
Bernard_Street,5:06,5:18,0:12,out,5:06,5:10,,,,,,
Bernard_Street,5:26,5:38,0:12,in,5:34,5:36,5:38,,,,,
Bernard_Street,5:26,5:38,0:12,out,5:26,5:30,,,,,,
Bernard_Street,5:46,5:58,0:12,in,5:54,5:56,5:58,,,,,
Bernard_Street,5:46,5:58,0:12,out,5:46,5:50,,,,,,
Centre_Place,6:50,7:08,0:18,in,7:02,7:04,7:08,,,,,
Centre_Place,6:50,7:08,0:18,out,6:50,6:58,,,,,,
